tag_id,bird_id,rel_date,rel_time,antiox,condition,cohort,rel_wt,rel_fat,rel_musc
480,MYWA4,10/13/2015,18:08,AO,Ad Lib,1,12.3,2,2
479,MYWA5,10/13/2015,18:08,NOAO,Ad Lib,1,12.4,2,2
478,MYWA6,10/13/2015,18:08,AO,Maintenance,1,11,0,1
476,MYWA17,10/13/2015,18:08,NOAO,Maintenance,1,11.2,0,1
475,MYWA48,10/15/2015,19:15,AO,Ad Lib,2,12.3,1,2
481,MYWA56,10/15/2015,19:15,NOAO,Ad Lib,2,12.2,2,2
482,MYWA57,10/15/2015,19:15,AO,Maintenance,2,11.4,0,1
477,MYWA58,10/15/2015,19:15,NOAO,Maintenance,2,11,0,1
484,MYWA69,10/20/2015,19:00,AO,Ad Lib,3,12.9,1,1
483,MYWA70,10/20/2015,19:00,NOAO,Ad Lib,3,12.5,2,2
486,MYWA71,10/20/2015,19:00,AO,Maintenance,3,12,0,1
485,MYWA73,10/20/2015,19:00,NOAO,Maintenance,3,11.5,0,1
487,MYWA74,10/21/2015,19:00,AO,Ad Lib,4,14.4,2,2
490,MYWA75,10/21/2015,19:00,NOAO,Ad Lib,4,14.1,2,2
489,MYWA76,10/21/2015,19:00,AO,Maintenance,4,12,0,1
488,MYWA78,10/21/2015,19:00,NOAO,Maintenance,4,12,0,1
491,MYWA81,10/26/2015,19:00,AO,Ad Lib,5,14,3,2
492,MYWA83,10/26/2015,19:00,NOAO,Ad Lib,5,16,5,2
493,MYWA84,10/26/2015,19:00,AO,Maintenance,5,12.1,2,2
494,MYWA85,10/26/2015,19:00,NOAO,Maintenance,5,11.3,0,1
496,MYWA98,11/02/2015,20:00,AO,Ad Lib,6,14,2,2
497,MYWA99,11/02/2015,20:00,NOAO,Ad Lib,6,13.7,2,2
495,MYWA100,11/02/2015,20:00,AO,Maintenance,6,11.9,0,1
498,MYWA101,11/02/2015,20:00,NOAO,Maintenance,6,11.6,0,1
500,MYWA107,11/03/2015,20:00,AO,Ad Lib,7,14,3,2
499,MYWA108,11/03/2015,20:00,NOAO,Ad Lib,7,13.8,2,2
501,MYWA106,11/03/2015,20:00,AO,Maintenance,7,12.6,1,1
502,MYWA105,11/03/2015,20:00,NOAO,Maintenance,7,12.5,1,1
503,MYWA111,11/07/2015,20:00,AO,Ad Lib,8,13.8,2,1
504,MYWA110,11/07/2015,20:00,NOAO,Ad Lib,8,13.9,2,2
505,MYWA109,11/07/2015,20:00,AO,Maintenance,8,11.5,1,1
506,MYWA112,11/07/2015,20:00,NOAO,Maintenance,8,12,0,1
